Symbol,Date,Open,Close,High,Low,Volume,Price_Change,Support_Level,Resistance_Level,50_EMA,Decisions
AFF.CN,2023-05-16 04:00:00,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.0,0.0,0.03999999910593033,0.03999999910593033,0.03999999910593033,Hold
AFF.CN,2023-05-17 04:00:00,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.0,0.0,0.03999999910593033,0.03999999910593033,0.03999999910593033,Hold
AFF.CN,2023-05-17 04:00:00,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.0,0.0,0.03999999910593033,0.03999999910593033,0.03999999910593033,Hold
AFF.CN,2023-05-18 04:00:00,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.0,0.0,0.03999999910593033,0.03999999910593033,0.03999999910593033,Hold
AFF.CN,2023-05-18 04:00:00,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.0,0.0,0.03999999910593033,0.03999999910593033,0.03999999910593033,Hold
AFF.CN,2023-05-19 04:00:00,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.0,0.0,0.03999999910593033,0.03999999910593033,0.03999999910593033,Hold
AFF.CN,2023-05-19 04:00:00,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.0,0.0,0.03999999910593033,0.03999999910593033,0.03999999910593033,Hold
AFF.CN,2023-05-23 04:00:00,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,1000.0,-0.25,0.029999999329447746,0.03999999910593033,0.03960784225195062,Hold
AFF.CN,2023-05-23 04:00:00,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,1000.0,0.0,0.029999999329447746,0.03999999910593033,0.039231064098126975,Hold
AFF.CN,2023-05-24 04:00:00,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.0,0.0,0.029999999329447746,0.03999999910593033,0.03886906155817877,Hold
AFF.CN,2023-05-24 04:00:00,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.0,0.0,0.029999999329447746,0.03999999910593033,0.03852125519626775,Hold
AFF.CN,2023-05-25 04:00:00,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.0,0.0,0.029999999329447746,0.03999999910593033,0.03818708829952971,Hold
AFF.CN,2023-05-25 04:00:00,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.0,0.0,0.029999999329447746,0.03999999910593033,0.037866025986977477,Hold
AFF.CN,2023-05-26 04:00:00,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.0,0.0,0.029999999329447746,0.03999999910593033,0.03755755435334886,Hold
