index,company_name,stock_symbol,portfolio_percent,price,flat_change,percent_change
191,Symbol Not Found,IDXX,0.10%,532.41,-7.52,(-1.39%)
192,Lululemon Athletica Inc.,LULU,0.10%,385.20,-5.45,(-1.40%)
193,"American Electric Power Company, Inc.",AEP,0.10%,84.56,-1.54,(-1.79%)
194,Symbol Not Found,ALL,0.10%,172.57,-0.44,(-0.25%)
195,Realty Income Corporation,O,0.10%,53.46,-0.64,(-1.18%)
196,Symbol Not Found,FAST,0.10%,76.59,-0.55,(-0.71%)
197,Johnson Controls International Plc,JCI,0.10%,65.13,-0.19,(-0.29%)
198,"Msci, Inc.",MSCI,0.10%,554.83,-5.62,(-1.00%)
199,Symbol Not Found,AMP,0.10%,434.83,-3.61,(-0.82%)
200,Symbol Not Found,STZ,0.10%,266.00,-5.76,(-2.12%)
201,Monster Beverage Corporation,MNST,0.10%,57.74,-1.54,(-2.60%)
202,Symbol Not Found,FIS,0.10%,72.75,-1.43,(-1.93%)
203,"Digital Realty Trust, Inc.",DLR,0.10%,141.91,-2.13,(-1.48%)
204,Bank of New York Mellon Corporation,BK,0.10%,56.96,-0.66,(-1.15%)
205,Symbol Not Found,A,0.10%,145.56,0.05,(0.03%)
206,Humana Inc.,HUM,0.10%,351.45,4.73,(1.36%)
207,Kimberly-Clark Corp.,KMB,0.10%,128.80,-0.55,(-0.43%)
208,"Fortinet, Inc.",FTNT,0.10%,67.82,-0.49,(-0.72%)
209,Occidental Petroleum Corporation,OXY,0.10%,66.38,1.39,(2.14%)
210,Symbol Not Found,AME,0.10%,180.46,-2.44,(-1.33%)
211,Symbol Not Found,PRU,0.10%,116.29,-1.11,(-0.95%)
212,Lennar Corporation Class A,LEN,0.10%,167.81,-4.17,(-2.42%)
213,Symbol Not Found,CNC,0.09%,77.75,-0.73,(-0.93%)
214,Symbol Not Found,HES,0.09%,154.78,2.14,(1.40%)
215,Symbol Not Found,SYY,0.09%,80.57,-0.61,(-0.75%)
216,Symbol Not Found,OTIS,0.09%,98.57,-0.70,(-0.71%)
217,Symbol Not Found,COR,0.09%,243.00,0.01,(0.00%)
218,Dow Inc.,DOW,0.09%,58.26,0.33,(0.57%)
219,Newmont Corporation,NEM,0.09%,36.43,0.59,(1.65%)
220,"Dominion Energy, Inc",D,0.09%,49.16,-0.03,(-0.06%)
221,"L3harris Technologies, Inc.",LHX,0.09%,208.56,-4.54,(-2.13%)
222,Symbol Not Found,CTVA,0.09%,57.68,0.01,(0.02%)
223,Symbol Not Found,CMI,0.09%,294.53,-0.12,(-0.04%)
224,"General Mills, Inc.",GIS,0.09%,70.13,0.16,(0.23%)
225,Symbol Not Found,CSGP,0.09%,94.52,-2.08,(-2.15%)
226,Symbol Not Found,RSG,0.09%,189.83,-1.61,(-0.84%)
227,Paychex Inc,PAYX,0.09%,121.62,-1.18,(-0.96%)
228,Symbol Not Found,IR,0.09%,93.62,-1.33,(-1.40%)
229,Symbol Not Found,YUM,0.09%,140.47,1.82,(1.31%)
230,Symbol Not Found,GEHC,0.09%,89.53,-1.38,(-1.52%)
231,Old Dominion Freight Line,ODFL,0.09%,218.12,-1.19,(-0.54%)
