index,company_name,stock_symbol,portfolio_percent,price,flat_change,percent_change
462,Camden Property Trust,CPT,0.02%,96.42,-1.98,(-2.01%)
463,Apa Corporation,APA,0.02%,35.43,1.05,(3.05%)
464,"Catalent, Inc.",CTLT,0.02%,56.39,-0.06,(-0.11%)
465,Symbol Not Found,DAY,0.02%,64.99,-1.22,(-1.84%)
466,Hormel Foods Corporation,HRL,0.02%,34.98,0.09,(0.26%)
467,Symbol Not Found,NWSA,0.02%,25.81,-0.37,(-1.41%)
468,American Airlines Group Inc.,AAL,0.02%,15.41,0.06,(0.39%)
469,Symbol Not Found,GL,0.02%,114.13,-2.24,(-1.92%)
470,Symbol Not Found,REG,0.02%,59.65,-0.91,(-1.50%)
471,Symbol Not Found,AIZ,0.02%,187.22,-1.02,(-0.54%)
472,Symbol Not Found,HSIC,0.02%,74.24,-1.28,(-1.69%)
473,Wynn Resorts Ltd,WYNN,0.02%,106.56,4.33,(4.24%)
474,"Match Group, Inc",MTCH,0.02%,35.91,-0.37,(-1.02%)
475,"Paycom Software, Inc.",PAYC,0.02%,198.28,-0.73,(-0.37%)
476,Symbol Not Found,BF.B,0.02%,51.02,-0.60,(-1.16%)
477,"Caesars Entertainment, Inc.",CZR,0.02%,43.17,-0.57,(-1.30%)
478,Symbol Not Found,BXP,0.02%,63.29,-2.02,(-3.09%)
479,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,20.94,0.01,(0.05%)
480,Symbol Not Found,CPB,0.02%,44.66,0.21,(0.47%)
481,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,73.34,-2.80,(-3.68%)
482,Symbol Not Found,PNW,0.02%,74.05,-0.68,(-0.91%)
483,Symbol Not Found,RHI,0.02%,78.18,-1.10,(-1.39%)
484,Symbol Not Found,MKTX,0.02%,216.56,-2.69,(-1.23%)
485,Symbol Not Found,BWA,0.02%,35.04,0.30,(0.86%)
486,"Etsy, Inc.",ETSY,0.02%,65.90,-2.82,(-4.10%)
487,Fmc Corporation,FMC,0.02%,62.76,-0.94,(-1.48%)
488,"Franklin Resources, Inc.",BEN,0.02%,27.62,-0.49,(-1.74%)
489,Symbol Not Found,FOXA,0.02%,31.35,0.08,(0.26%)
490,Symbol Not Found,GNRC,0.02%,127.41,1.27,(1.01%)
491,Symbol Not Found,FRT,0.02%,100.74,-1.38,(-1.35%)
492,Invesco Ltd,IVZ,0.02%,16.49,-0.10,(-0.60%)
493,Ralph Lauren Corporation,RL,0.02%,184.62,-3.14,(-1.67%)
494,Davita Inc.,DVA,0.02%,137.84,-0.21,(-0.15%)
495,Symbol Not Found,BIO,0.02%,338.98,-6.89,(-1.99%)
496,Symbol Not Found,HAS,0.02%,56.26,-0.26,(-0.46%)
497,Symbol Not Found,CMA,0.02%,54.11,-0.88,(-1.60%)
498,Symbol Not Found,XRAY,0.02%,32.25,-0.94,(-2.83%)
499,Symbol Not Found,MHK,0.02%,128.47,-2.42,(-1.85%)
500,Paramount Global Class B,PARA,0.01%,11.75,-0.02,(-0.17%)
501,V.F. Corporation,VFC,0.01%,15.30,-0.04,(-0.26%)
502,Fox Corporation Class B,FOX,0.01%,28.59,-0.03,(-0.10%)
503,Symbol Not Found,NWS,0.01%,26.68,-0.38,(-1.40%)
